Despesa por função - segurança pública e defesa nacional - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AC;1200013;Acrelândia;0;0;0;0;0;0;0;0;;;;
AC;1200054;Assis Brasil;0;57238;0;0;0;0;0;0;;978281,34;1257880,3;
AC;1200104;Brasiléia;0;0;0;0;0;0;0;0;;7708431,02;7690654,65;
AC;1200138;Bujari;0;0;0;0;0;;;0;;;;
AC;1200179;Capixaba;0;0;0;0;0;434458,4;1211434,64;944315,85;1815105,22;2600767,79;3343664,29;
AC;1200203;Cruzeiro do Sul;0;0;0;1488702,69;1248;1484375,29;126910,3;3122946,2;1221805,38;338673,95;4661993,55;
AC;1200252;Epitaciolândia;;0;0;0;0;0;0;0;;;;
AC;1200302;Feijó;0;0;0;0;;0;0;0;;;;
AC;1200328;Jordão;0;0;0;0;0;53299,52;79796,21;81518,43;134200,88;119710,78;135664,31;
AC;1200336;Mâncio Lima;0;0;0;0;0;0;503828,47;937413,83;91566,24;2618503,83;2408719,1;
AC;1200344;Manoel Urbano;5072;7711,52;750;0;12124,42;9739,92;0;10400;;;;
AC;1200351;Marechal Thaumaturgo;0;0;0;0;0;0;2100462,94;0;;;;
AC;1200385;Plácido de Castro;0;0;0;0;0;0;0;0;;;1463912,94;
AC;1200393;Porto Walter;0;0;0;0;;0;0;513209,7;;;3087694,9;
AC;1200401;Rio Branco;4883341;11426503;2456213,46;3470231,22;3307149,12;2837457,61;3304806,91;6593981,41;4896350,9;44230720,23;23210236,82;
AC;1200427;Rodrigues Alves;;0;0;0;0;0;0;0;;;256044,6;
AC;1200435;Santa Rosa do Purus;;0;0;0;0;0;0;0;;;;
AC;1200450;Senador Guiomard;0;0;0;0;0;0;0;0;;;;
AC;1200500;Sena Madureira;0;0;0;0;0;0;0;0;;;;
AC;1200609;Tarauacá;0;0;0;0;0;0;0;0;;;;
AC;1200708;Xapuri;75763,56;64962,3;53724,46;106645,69;115486,56;133621,92;142454,86;135558,82;114103,87;606590,01;812634,96;
AC;1200807;Porto Acre;0;0;0;0;0;0;0;0;;;;
AL;2700102;Água Branca;0;0;0;0;0;0;0;0;;;;
AL;2700201;Anadia;0;0;0;0;0;0;0;0;;;;
AL;2700300;Arapiraca;125691,16;152230,64;71558,76;42489,69;77300;72212,9;68104,47;81600;81600;181761,62;294633,72;
AL;2700409;Atalaia;872166,07;1551437,09;1898536,5;535629,67;1382394,98;0;1322291,69;2830838,81;4413981,47;3964373,54;4668096,24;
AL;2700508;Barra de Santo Antônio;0;0;0;0;0;0;0;0;;;;
AL;2700607;Barra de São Miguel;0;0;0;0;529363,08;750842,78;944651,75;882438,42;1036415,02;1320659,57;1783256,5;
AL;2700706;Batalha;0;0;0;0;0;0;0;0;;;;
AL;2700805;Belém;;;;;;151000;0;0;;;;
AL;2700904;Belo Monte;0;0;0;0;0;0;0;0;;;;
AL;2701001;Boca da Mata;0;0;0;0;0;0;0;0;;;;
AL;2701100;Branquinha;0;0;121524,16;0;0;0;0;0;355926,04;695172,88;595239,66;
AL;2701209;Cacimbinhas;0;0;0;0;0;0;0;0;;;;
AL;2701308;Cajueiro;0;0;0;0;0;0;172784,37;0;;;;
AL;2701357;Campestre;65050,39;66107,1;31566,42;108361;0;0;0;;;;;
AL;2701407;Campo Alegre;1262973,9;1506564,27;1652015,55;1318240,35;0;0;0;0;;;3046730,24;
AL;2701506;Campo Grande;;;;0;0;0;0;0;;;;
AL;2701605;Canapi;0;0;;0;0;0;0;0;;;;
AL;2701704;Capela;174651,7;240038,2;301133,67;213657,43;277087,91;236192;252810,18;232348,21;343791,75;345905,02;443667,01;
